Common Name,Taxon,Taxon Notes
Anchovy,Engraulis mordax,Most common species in the region according to literature
Blue whale,Balaenoptera musculus,
Chinook Salmon,Oncorhynchus tshawytscha,
Coho Salmon,Oncorhynchus kisutch,
Dungeness crab,Metacarcinus magister,Cancer magister (unaccepted)
Eulachon,Thaleichthys pacificus,
European green crab,Carcinus maenas,
Guadalupe fur seal,Arctocephalus townsendi,
Halibut,Hippoglossus stenolepis,
Herring,Clupea pallasii,
Krill,Euphausia pacifica,16 known genera and 100+ species according to WORMs
Krill,Thysanoessa spinifera,
Leatherback Sea Turtle,Dermochelys coriacea,
Night smelt,Spirinchus starksi,
Pacific lamprey,Entosphenus tridentatus,
Pacific menhaden,Ethmidium maculatum,
Pacific North Right Whale,Eubalaena japonica,
Pacific razor clam,Siliqua patula,"Main species in this region, other Siliqua sp. are found in Artic and Atlantic."
Pacific whiting (Hake),Merluccius productus,
Phytoplankton,Alexandrium catenella,
Pinto abalone,Haliotis kamtschatkana,Haliotis kamtschatkana kamtschatkana (not accepted); Haliotis assimilis (not accepted)
Quinault Sockeye Salmon,Oncorhynchus nerka,
Sablefish,Anoplopoma fimbria,
Seaweed,Nereocystis leutkeana,
Seaweed,Macrocystis pyrifera,
Southern resident killer whale,Orcinus orca,
Steelhead,Oncorhynchus mykiss,
Sunflower star,Pycnopodia helianthoides,
Surf smelt,Hypomesus pretiosus,
Sand lance,Ammodytes hexapterus,